EXFOR Units, Expansion, Comments, Pint Units
PRD/IN/MEV,products per inc. proj. per MeV,,products/projectile/MeV
PRT/IN/MEV,particles per inc. proj. per MeV,' = (part.per inc.proj.) / MeV',particles/projectile/MeV
N/PART,neutrons per Incident Projectile,,neutrons/projectile
NUC/PART,nuclei per incident projectile,,nuclei/projectile
PC/INC,particles/100 incid.projectiles,,particles/_100projectiles
PRD/INC,products/incident projectile,,products/projectile
PRT/INC,particles per incident projectile,,particles/projectile
PRD/MUAHR,products/micro-Ampere-hour,,products/(microampere*hour)
PRD/MUCOUL,products/micro-Coulomb,,products/microcoulomb
PRT/MAMIN,particles/milli-Ampere-minute,,particles/(milliampere*minute)
PRT/MUAHR,particles/micro-Ampere-hour,,particles/(microampere*hour)
PRT/MUCOUL,particles/micro-Coulomb,,particles/microcoulomb
1/SR,per steradian,,1/steradian
B,barns,,barn
FB,femtobarns,,femtobarn
KB,kilobarns,,kilobarn
MB,millibarns,,millibarn
MICRO-B,microbarns,,microbarn
NB,nanobarns,,nanobarn
PB,picobarns,,picobarn
B*EV,barns * eV,,barns * eV
B*KEV,barns * keV,,barns * keV
B*MEV,barns * MeV,,barns * MeV
B*MILLI-EV,barns * milli-eV,,barns * meV
MB*EV,millibarns * eV,,millibarns * eV
MB*MEV,millibarns * MeV,,millibarns * MeV
MB*MILLIEV,millibarns * milli-eV,,millibarns * meV
CM3/SEC,centimeters-cubed per second,' for reaction rate (cross section*velocity)',cm**3/sec
B*EV-SQ,barns * eV-squared,,barns*eV**2
MB*EV-SQ,millibarns * eV-squared,,millibarns*eV**2
B*EV/SR,barns * eV per steradian,,barns*eV/steradian
B*MEV/SR,barns * MeV per steradian,,barns*MeV/steradian
MB*MEV/SR,millibarns*MeV per steradian,,millibarns*MeV/steradian
B*EV*RT-EV,barns * eV * square-root(eV),' for Adler-Adler coefficients',barns*eV*squareroot_eV
B*RT-EV,barns * square-root(eV),,barns*squareroot_eV
B*RT-KEV,barns * square-root(keV),,barns*squareroot_keV
MB*RT-EV,millibarns * square-root(eV),,millibarns*squareroot_eV
MB/SR/MEV2,millibarns/sr. per MeV-squared,' = mb / (sr * MeV**2)',millibarns/steradian/MeV**2
